Год;Месяц;"Заказы с лого";"Выручка по заказам";"c/c заказов";"% менегера по заказам";"Средний заказ";"Заказов магазин";"Выручка магазин";"Общая выручка";"Налоги + банк %";"Средний чек";Доставок;"с/с доставок";"Выручка магазин за вычетом доставки";"с/с готовой продукции";"Маржа магазин без налогов и %";"% менегера по магазину";Прибыль
2014;1;9;1293400;894330;39907;143711;74;703581;1996981;79879;9508;55;38601;664980;260792;442789;24251;659220
2014;2;10;1149500;883555;26594;114950;137;929574;2079074;83163;6785;105;77670;851904;375628;553946;28577;603887
2014;3;14;598374;362069;23630;42741;119;970718;1569092;62764;8157;96;115890;854828;378734;591984;28566;597440
2014;4;8;814080;569720;24436;101760;121;792684;1606764;64271;6551;87;61400;731284;375210;417474;21364;490363
2014;5;9;1366780;863226;50355;151864;117;752794;2119574;84783;6434;90;64100;688694;329845;422949;21531;705734
2014;6;7;426270;287907;13836;60896;116;766776;1193046;47722;6610;79;54400;712376;330911;435865;22888;435382
2014;7;11;824415;470938;35348;74947;148;1094908;1919323;76773;7398;108;80464;1014444;539247;555661;28512;688041
2014;8;8;956270;626990;32928;119534;137;868274;1824544;72982;6338;91;74000;794274;371217;497057;25383;621044
2014;9;16;1198466;679947;51852;74904;175;1001662;2200128;88005;5724;127;90800;910862;444494;557168;27982;817048
2014;10;30;2095737;1157291;93845;69858;177;1385016;3480753;139230;7825;105;73370;1311646;620180;764836;41488;1355349
2014;11;46;2592606;1639863;95274;56361;271;2156865;4749472;189979;7959;150;106800;2050065;945149;1211716;66295;1706112
2014;12;16;695425;635588;5984;43464;657;4907267;5602692;224108;7469;229;164900;4742367;1889390;3017877;171179;2511544
2015;1;8;568743;328566;24018;71093;102;747980;1316723;52669;7333;38;27550;720430;282716;465264;26263;574942
2015;2;11;630713;366001;26471;57338;181;1228767;1859480;74379;6789;63;44700;1184067;465387;763380;43121;839421
2015;3;15;1077114;653334;42378;71808;170;1116102;2193216;87729;6565;57;40600;1075502;435093;681008;38425;895658
2015;4;8;529500;301718;22778;66188;148;785791;1315291;52612;5309;45;31700;754091;278394;507397;28542;599547
2015;5;6;443206;291144;15206;73868;157;847322;1290528;51621;5397;54;37800;809522;302832;544490;30401;561523
2015;6;10;310895;151552;15934;31089;158;955199;1266094;50644;6046;63;44100;911099;327837;627362;34996;641031
2015;7;15;1279310;809592;46972;85287;163;969328;2248638;89946;5947;76;54000;915328;326632;642696;35322;886175
2015;8;12;529583;405252;12433;44132;131;744986;1274569;50983;5687;57;40300;704686;250054;494932;27278;488270
2015;9;17;1399874;949452;45042;82346;211;1229600;2629474;105179;5827;81;57300;1172300;452334;777266;43198;976969
2015;10;20;1777438;1092961;68448;88872;224;1715378;3492816;139713;7658;79;57300;1658078;622388;1092990;62141;1449866
2015;11;32;2013925;1276537;73739;62935;375;2835373;4849298;193972;7561;169;122800;2712573;1001605;1833768;102658;2077987
2015;12;34;805784;449758;35603;23700;833;6214785;7020569;280823;7461;290;207800;6006985;2057269;4157516;236983;3752334
2016;1;11;644069;409042;23503;58552;160;1310007;1954076;78163;8188;44;32400;1277607;436106;873901;50490;924372
2016;2;22;1627646;1189259;43839;73984;280;1972728;3600373;144015;7045;97;70350;1902378;657839;1314888;74672;1420399
2016;3;20;2192986;1551862;64112;109649;313;1937274;4130260;165210;6189;104;75900;1861374;646947;1290326;72866;1553362
2016;4;18;1319159;859890;45927;73287;238;1443604;2762763;110511;6066;82;58400;1385204;483770;959834;54086;1150179
2016;5;8;831880;583779;24810;103985;197;1221008;2052888;82116;6198;56;41100;1179908;391059;829949;47331;882693
2016;6;12;1306960;907685;39927;108913;226;1395385;2702345;108094;6174;71;50000;1345385;444733;950652;54039;1097867
2016;7;11;1133619;772200;36142;103056;181;1176258;2309878;92395;6499;66;49900;1126358;389567;786692;44207;925466
2016;8;20;1569465;1020756;54871;78473;263;1732695;3302160;132086;6588;99;70900;1661795;541342;1191353;67227;1414978
2016;9;17;1113396;643575;46982;65494;272;1978460;3091856;123674;7274;99;73550;1904910;590461;1387998;78867;1534746
2016;10;19;1880075;1218753;66132;98951;303;2278273;4158348;166334;7519;124;96000;2182273;703865;1574408;88704;1818559
2016;11;38;2907273;1833065;107421;76507;538;5226885;8134158;325366;9715;226;172150;5054735;1572157;3654728;208955;3915044
2016;12;18;1004572;575737;42883;55810;915;7475248;8479819;339193;8170;275;234530;7240718;2091890;5383358;308930;4886657
2017;1;14;1115091;652340;46275;79649;201;1676985;2792076;111683;8343;61;47521;1629464;474122;1202863;69321;1390814
2017;2;14;1056776;580714;47606;75484;364;2485249;3542025;141681;6828;123;95850;2389399;715368;1769881;100442;1860364
2017;3;16;1405052;880266;52479;87816;368;2116972;3522024;140881;5753;102;79300;2037672;631918;1485054;84345;1652835
2017;4;10;941877;647815;29406;94188;273;1789156;2731034;109241;6554;107;80650;1708506;539153;1250004;70161;1254607
2017;5;8;611970;366205;24576;76496;254;1800597;2412567;96503;7089;99;75800;1724797;542958;1257639;70910;1235615
2017;6;10;637531;446611;19092;63753;252;1697241;2334772;93391;6735;87;65518;1631723;484300;1212941;68845;1157015
2017;7;8;280898;175182;10572;35112;229;1611092;1891990;75680;7035;87;66000;1545092;453925;1157167;65470;1045161
2017;8;25;1222706;772786;44992;48908;276;1947496;3170202;126808;7056;102;77900;1869596;583980;1363516;77137;1486599
2017;9;25;1255719;748693;50703;50229;303;2277303;3533022;141321;7516;108;81800;2195503;671226;1606077;91457;1747823
2017;10;18;1471942;896762;57518;81775;331;2476234;3948176;157927;7481;125;94000;2382234;739661;1736573;98554;1903754
2017;11;25;1590049;871241;71881;63602;437;3584788;5174837;206993;8203;165;123900;3460888;1024736;2560052;146169;2729917
